basin_id,latitude,longitude,length_km_river,perc_agricul,perc_bog,perc_eff_lake,perc_lake,perc_glacier,perc_forest,perc_mountain,perc_urban,area_total,height_minimum,height_maximum,height_hypso_10,height_hypso_20,height_hypso_30,height_hypso_40,height_hypso_50,height_hypso_60,height_hypso_70,height_hypso_80,height_hypso_90,specific_runoff,annual_runoff,is_sk,mean_summer_prec,mean_fall_prec,mean_annual_prec,mean_wet_days,mean_summer_temp,mean_winter_temp,utm_east_z33,utm_north_z33
6X10X0,59.98723,10.80066,4.86,0.0,1.56,0.41,2.84,0.0,94.47,0.0,0.0,7.03,165.0,435.0,234.0,263.0,283.0,294.0,300.0,310.0,327.0,346.0,366.0,20.6,,0.0,302.65303030302994,335.341818181818,2.94043813791387,0.3353435115371541,14.3350164690382,-3.85577620967742,265785.0,6657426.0
73X27X0,61.17078,8.10155,13.81,0.0,0.56,3.78,9.14,0.43,0.13,89.48,0.0,30.32,1006.0,1808.0,1240.0,1264.0,1296.0,1325.0,1349.0,1392.0,1426.0,1467.0,1521.0,33.5,,0.0,249.022424242424,265.241515151515,2.86823583105137,0.411966721342968,6.59342885375494,-9.29082997311828,129378.0,6801391.0
74X16X0,61.40149,7.70727,7.43,0.0,0.0,0.6,4.2,0.0,0.0,92.44,0.0,23.8,1078.0,1589.0,1180.0,1210.0,1257.0,1307.0,1328.0,1352.0,1378.0,1406.0,1449.0,59.46,,0.0,264.953333333333,362.857272727273,3.52746825989544,0.372691403998759,6.95568511198946,-8.64795026881721,111126.0,6829280.0
75X23X0,61.34702,7.39822,14.65,0.02,0.3,0.05,0.98,0.0,16.2,78.22,0.0,45.92,17.0,1467.0,706.0,940.0,1029.0,1106.0,1148.0,1188.0,1227.0,1265.0,1306.0,47.15,,0.0,249.840606060606,350.969090909091,3.56584349846486,0.377677746290594,8.40419631093544,-7.326875,93991.0,6825127.0
75X28X0,61.38168,7.44511,17.04,0.0,0.0,1.31,4.17,0.0,2.08,87.52,0.0,48.04,478.0,1594.0,977.0,1111.0,1186.0,1243.0,1294.0,1335.0,1372.0,1408.0,1452.0,45.19,,0.0,267.460303030303,373.995454545455,3.74883080242304,0.380666869003084,7.25042160737813,-8.38346774193548,96935.0,6828679.0
77X3X0,61.29784,7.00681,16.4,0.9,0.9,2.3,3.61,3.61,20.73,59.5,0.0,110.93,395.0,1600.0,492.0,655.0,784.0,896.0,1000.0,1093.0,1196.0,1284.0,1400.0,76.49,,0.0,333.598484848485,621.9475757575761,5.73242718446602,0.475466709407393,9.09603096179183,-6.38372983870968,72486.0,6822181.0
78X8X0,61.4487,6.74268,5.78,0.22,0.34,0.15,0.32,41.42,19.43,31.33,0.0,40.46,40.0,1731.0,206.0,457.0,759.0,1011.0,1225.0,1357.0,1487.0,1578.0,1619.0,108.3,,0.0,437.028787878788,821.716666666667,8.12757198572733,0.526192676558417,8.49882411067194,-7.072207661290321,60541.0,6840653.0
79X3X0,61.15987,6.27839,10.9,0.0,0.0,1.3300000000000003,3.33,0.0,23.33,66.67,0.0,30.0,289.0,1346.0,431.0,574.0,693.0,760.0,820.0,886.0,949.0,1040.0,1129.0,63.18999999999999,,0.0,385.212121212121,717.421515151515,6.967138826653391,0.478960991130163,9.868629776021082,-5.09982862903226,31630.0,6811910.0
80X4X0,61.20324,5.78553,5.88,0.0,0.12,1.21,3.37,0.0,9.99,78.94,0.0,8.31,335.0,886.0,519.0,580.0,610.0,634.0,661.0,695.0,732.0,771.0,805.0,100.01,,0.0,555.766060606061,1036.36757575758,9.71703012198158,0.541149884679609,10.7109057971015,-3.67854502688172,5965.0,6820350.0
81X1X0,61.1352,4.93712,3.47,0.0,1.55,19.37,20.06,0.0,10.59,12.57,0.0,7.13,21.0,448.0,24.0,24.0,35.0,41.0,51.0,64.0,96.0,209.0,300.0,60.73,,0.0,465.21696969697,835.906060606061,7.24628744502531,0.562149904003874,13.5373550724638,1.69949932795699,-40448.0,6819567.0
